id	title	description	availability	condition	price	link	image_link	additional_image_link	brand	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
iherb-144075	[iHerb]Dr Mercola 리포소말 프레그네놀론 플러스 DHEA 캡슐 30정	[iHerb]Dr Mercola 리포소말 프레그네놀론 플러스 DHEA 캡슐 30정. iHerb 해외직구 스포츠 보충제 상품입니다.	out of stock	new	40740 KRW	https://www.onejikgu.co.kr/shop_view?idx=92106	https://cdn.imweb.me/upload/S2026031936150999f07e8/ad2796a64f49a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/938b8228d1cee.jpeg	Dr. Mercola	iherb-144075	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 스포츠 보충제	sports_supplements	margin_unknown	out_of_stock	price_20000_50000	blocked
iherb-129526	[iHerb]Emerald Laboratories 프레그네놀론 DHEA 베지 캡슐 60정	[iHerb]Emerald Laboratories 프레그네놀론 DHEA 베지 캡슐 60정. iHerb 해외직구 스포츠 보충제 상품입니다.	out of stock	new	19340 KRW	https://www.onejikgu.co.kr/shop_view?idx=87554	https://cdn.imweb.me/upload/S2026031936150999f07e8/5a150d73f2966.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/96346c6470757.jpeg	Emerald Laboratories	iherb-129526	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 스포츠 보충제	sports_supplements	margin_unknown	out_of_stock	price_under_20000	blocked
iherb-159991	[iHerb]Naty 생리대 일반 14개입	[iHerb]Naty 생리대 일반 14개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	9110 KRW	https://www.onejikgu.co.kr/shop_view?idx=90910	https://cdn.imweb.me/upload/S2026031936150999f07e8/64f539d77d582.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/310de10ad8d34.jpeg	Naty	iherb-159991	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-159992	[iHerb]Naty 생리대 야간 10개입	[iHerb]Naty 생리대 야간 10개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	9110 KRW	https://www.onejikgu.co.kr/shop_view?idx=90909	https://cdn.imweb.me/upload/S2026031936150999f07e8/a8aaeba7cb2a2.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4ee993ac279bf.jpeg	Naty	iherb-159992	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-159993	[iHerb]Naty 생리대 슈퍼 12개입	[iHerb]Naty 생리대 슈퍼 12개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	9110 KRW	https://www.onejikgu.co.kr/shop_view?idx=90908	https://cdn.imweb.me/upload/S2026031936150999f07e8/8dea8479dbb1e.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/90b243d49a25f.jpeg	Naty	iherb-159993	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-159994	[iHerb]Naty 팬티 라이너 일반 32개입	[iHerb]Naty 팬티 라이너 일반 32개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	9110 KRW	https://www.onejikgu.co.kr/shop_view?idx=90907	https://cdn.imweb.me/upload/S2026031936150999f07e8/5404d5734b984.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/0376dc799a753.jpeg	Naty	iherb-159994	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-159995	[iHerb]Naty 팬티 라이너 대형 28개입	[iHerb]Naty 팬티 라이너 대형 28개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	9110 KRW	https://www.onejikgu.co.kr/shop_view?idx=90906	https://cdn.imweb.me/upload/S2026031936150999f07e8/51f551afd2f1a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/fccb64247ba5b.jpeg	Naty	iherb-159995	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-145898	Rael 유기농 면 탐폰 레귤러 향료 무함유 16개	Rael 유기농 면 탐폰 레귤러 향료 무함유 16개. iHerb 해외직구 목욕 상품입니다.	in stock	new	12910 KRW	https://www.onejikgu.co.kr/shop_view?idx=69330	https://cdn.imweb.me/upload/S2026031936150999f07e8/a622eb08e7953.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/f5d7e178676cc.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/bb5650c30942a.jpeg	Rael	iherb-145898	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-132501	The Honey Pot Company 100 유기농 순면 커버 데이타임 패드 날개형	The Honey Pot Company 100 유기농 순면 커버 데이타임 패드 날개형. iHerb 해외직구 목욕 상품입니다.	in stock	new	13850 KRW	https://www.onejikgu.co.kr/shop_view?idx=69320	https://cdn.imweb.me/upload/S2026031936150999f07e8/b41300610f47a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/bfbb8d1b1c0e8.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/cbcdc8a04f3f2.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/85406da2a204e.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/0a8cfae115ac0.jpeg	The Honey Pot Company	iherb-132501	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-154106	The Honey Pot Company 유기농 진정 허브 인퓨전 날개형 패드 오버나이트	The Honey Pot Company 유기농 진정 허브 인퓨전 날개형 패드 오버나이트. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69303	https://cdn.imweb.me/upload/S2026031936150999f07e8/8e69fd0988529.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/19e2beb32e204.jpeg	The Honey Pot Company	iherb-154106	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-154105	The Honey Pot Company 유기농 진정 허브 인퓨전 날개형 패드 슈퍼 16개입	The Honey Pot Company 유기농 진정 허브 인퓨전 날개형 패드 슈퍼 16개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69302	https://cdn.imweb.me/upload/S2026031936150999f07e8/df125c02dbdbd.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/599ee4e4051ef.jpeg	The Honey Pot Company	iherb-154105	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-100184	The Honey Pot Company 유기농으로 재배한 100 순면 흡수력 탐폰 레귤러	The Honey Pot Company 유기농으로 재배한 100 순면 흡수력 탐폰 레귤러. iHerb 해외직구 목욕 상품입니다.	in stock	new	13950 KRW	https://www.onejikgu.co.kr/shop_view?idx=69301	https://cdn.imweb.me/upload/S2026031936150999f07e8/3baed6295cc0e.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/578790b2d6d66.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/be3157e859ddc.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/d5660edbf257f.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/5afbdb90e36e8.jpeg	The Honey Pot Company	iherb-100184	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-154104	The Honey Pot Company 유기농 진정 허브 인퓨전 날개형 패드 레귤러	The Honey Pot Company 유기농 진정 허브 인퓨전 날개형 패드 레귤러. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69300	https://cdn.imweb.me/upload/S2026031936150999f07e8/f814e8127a377.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/fa7d3e2dabec2.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/2d8d6cbe0b915.jpeg	The Honey Pot Company	iherb-154104	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-149741	Here We Flo 산모용 패드 울트라 헤비 10개입	Here We Flo 산모용 패드 울트라 헤비 10개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	11970 KRW	https://www.onejikgu.co.kr/shop_view?idx=69290	https://cdn.imweb.me/upload/S2026031936150999f07e8/359e81c08490c.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/b4060d9c890fe.jpeg	Here We Flo	iherb-149741	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
